protocol,dataset_or_direction,outer_test_participant,path,original_feature_count,constant_feature_count,duplicate_feature_count,retained_feature_count,expected_candidate_count,observed_candidate_count,training_participants,validation_participants,test_participants,training_recordings,validation_recordings,test_recordings,training_windows,validation_windows,test_windows,role_contract_passed
within_experiment,experiment2,experiment2::sub-01,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-02,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-03,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-05,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-07,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-09,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-12,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-13,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-14,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-15,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-16,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-19,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-20,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-21,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-25,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-31,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-32,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-33,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-34,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-35,EEG,232,0,0,232,8,8,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment3,experiment3::sub-02,EEG,232,0,0,232,8,8,12,3,1,144,36,12,20699,5509,1583,True
within_experiment,experiment3,experiment3::sub-04,EEG,232,0,0,232,8,8,12,3,1,144,36,12,21250,4782,1759,True
within_experiment,experiment3,experiment3::sub-06,EEG,232,0,0,232,8,8,12,3,1,144,36,12,20520,5442,1829,True
within_experiment,experiment3,experiment3::sub-07,EEG,232,0,0,232,8,8,12,3,1,144,36,12,20970,5293,1528,True
within_experiment,experiment3,experiment3::sub-09,EEG,232,0,0,232,8,8,12,3,1,144,36,12,21442,4991,1358,True
within_experiment,experiment3,experiment3::sub-18,EEG,232,0,0,232,8,8,12,3,1,144,36,12,21118,4947,1726,True
within_experiment,experiment3,experiment3::sub-19,EEG,232,0,0,232,8,8,12,3,1,144,36,12,20645,5525,1621,True
within_experiment,experiment3,experiment3::sub-21,EEG,232,0,0,232,8,8,12,3,1,144,36,12,21250,4705,1836,True
within_experiment,experiment3,experiment3::sub-22,EEG,232,0,0,232,8,8,12,3,1,144,36,12,20915,5045,1831,True
within_experiment,experiment3,experiment3::sub-23,EEG,232,0,0,232,8,8,12,3,1,144,36,12,20975,4975,1841,True
within_experiment,experiment3,experiment3::sub-24,EEG,232,0,0,232,8,8,12,3,1,144,36,12,21141,4808,1842,True
within_experiment,experiment3,experiment3::sub-25,EEG,232,0,0,232,8,8,12,3,1,144,36,12,20833,5116,1842,True
within_experiment,experiment3,experiment3::sub-26,EEG,232,0,0,232,8,8,12,3,1,144,36,12,20854,5201,1736,True
within_experiment,experiment3,experiment3::sub-27,EEG,232,0,0,232,8,8,12,3,1,144,36,12,20970,5046,1775,True
within_experiment,experiment3,experiment3::sub-29,EEG,232,0,0,232,8,8,12,3,1,144,36,12,20765,5184,1842,True
within_experiment,experiment3,experiment3::sub-31,EEG,232,0,0,232,8,8,12,3,1,144,36,12,20517,5432,1842,True
cross_experiment,experiment2_to_experiment3,,EEG,232,0,0,232,8,8,16,4,16,160,40,192,19232,4808,27791,True
cross_experiment,experiment3_to_experiment2,,EEG,232,0,0,232,8,8,13,3,20,156,36,200,22382,5409,24040,True
within_experiment,experiment2,experiment2::sub-01,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-02,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-03,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-05,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-07,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-09,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-12,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-13,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-14,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-15,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-16,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-19,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-20,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-21,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-25,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-31,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-32,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-33,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-34,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-35,ECG,16,0,0,16,2,2,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment3,experiment3::sub-02,ECG,16,0,0,16,2,2,12,3,1,144,36,12,20699,5509,1583,True
within_experiment,experiment3,experiment3::sub-04,ECG,16,0,0,16,2,2,12,3,1,144,36,12,21250,4782,1759,True
within_experiment,experiment3,experiment3::sub-06,ECG,16,0,0,16,2,2,12,3,1,144,36,12,20520,5442,1829,True
within_experiment,experiment3,experiment3::sub-07,ECG,16,0,0,16,2,2,12,3,1,144,36,12,20970,5293,1528,True
within_experiment,experiment3,experiment3::sub-09,ECG,16,0,0,16,2,2,12,3,1,144,36,12,21442,4991,1358,True
within_experiment,experiment3,experiment3::sub-18,ECG,16,0,0,16,2,2,12,3,1,144,36,12,21118,4947,1726,True
within_experiment,experiment3,experiment3::sub-19,ECG,16,0,0,16,2,2,12,3,1,144,36,12,20645,5525,1621,True
within_experiment,experiment3,experiment3::sub-21,ECG,16,0,0,16,2,2,12,3,1,144,36,12,21250,4705,1836,True
within_experiment,experiment3,experiment3::sub-22,ECG,16,0,0,16,2,2,12,3,1,144,36,12,20915,5045,1831,True
within_experiment,experiment3,experiment3::sub-23,ECG,16,0,0,16,2,2,12,3,1,144,36,12,20975,4975,1841,True
