protocol,evaluation,path,participants,recordings,bootstrap_repetitions,participant_metric_rows,task_metric_rows,recomputed_recording_balanced_accuracy,recomputed_recording_macro_f1,recomputed_recording_roc_auc,recomputed_recording_pr_auc,recomputed_participant_macro_balanced_accuracy,recomputed_participant_macro_f1,maximum_absolute_difference,verification_passed
cross_experiment,experiment2_to_experiment3,ECG,16,192,5000,16,6,0.5052083333333334,0.490146750524109,0.5187717013888888,0.5258018280082725,0.5052083333333334,0.3761162244618127,1.1102230246251565e-16,True
cross_experiment,experiment2_to_experiment3,ECG_EEG,16,192,5000,16,6,0.6302083333333334,0.5997063573630891,0.676974826388889,0.6381902999870265,0.6302083333333334,0.5320687584474348,1.1102230246251565e-16,True
cross_experiment,experiment2_to_experiment3,ECG_EEG_Pupil,16,192,5000,16,6,0.6354166666666666,0.613215149073328,0.6551649305555556,0.6527725324408219,0.6354166666666667,0.5505209863665745,1.1102230246251565e-16,True
cross_experiment,experiment2_to_experiment3,ECG_Pupil,16,192,5000,16,6,0.5520833333333333,0.5520347259902334,0.5610894097222222,0.5779723774843626,0.5520833333333334,0.4253019957983193,5.551115123125783e-17,True
cross_experiment,experiment2_to_experiment3,EEG,16,192,5000,16,6,0.6458333333333334,0.6222222222222222,0.6611328125,0.6298136222787114,0.6458333333333334,0.5533088235294118,1.1102230246251565e-16,True
cross_experiment,experiment2_to_experiment3,EEG_Pupil,16,192,5000,16,6,0.59375,0.5733333333333333,0.6866319444444445,0.6806041495202341,0.59375,0.5052813301894183,1.1102230246251565e-16,True
cross_experiment,experiment2_to_experiment3,Pupil,16,192,5000,16,6,0.5625,0.5151515151515151,0.706271701388889,0.6806788359616642,0.5625,0.44756944444444446,1.1102230246251565e-16,True
cross_experiment,experiment3_to_experiment2,ECG,20,200,5000,20,5,0.48,0.4724025974025974,0.48999999999999994,0.5120377885273426,0.48,0.3569826007326007,1.1102230246251565e-16,True
cross_experiment,experiment3_to_experiment2,ECG_EEG,20,200,5000,20,5,0.5700000000000001,0.5647332725984411,0.6142,0.5703355076745652,0.5700000000000001,0.466020091020091,1.1102230246251565e-16,True
cross_experiment,experiment3_to_experiment2,ECG_EEG_Pupil,20,200,5000,20,5,0.615,0.6098401357959008,0.6238,0.5885067521765176,0.615,0.5107683982683984,1.1102230246251565e-16,True
cross_experiment,experiment3_to_experiment2,ECG_Pupil,20,200,5000,20,5,0.555,0.5312705727452272,0.5939,0.6098621541353524,0.5549999999999999,0.4481074481074482,1.1102230246251565e-16,True
cross_experiment,experiment3_to_experiment2,EEG,20,200,5000,20,5,0.605,0.6045155315261195,0.6058,0.5941468867996489,0.605,0.5330069930069931,1.1102230246251565e-16,True
cross_experiment,experiment3_to_experiment2,EEG_Pupil,20,200,5000,20,5,0.5449999999999999,0.5322659402225591,0.6175999999999999,0.6196289705481675,0.545,0.42076395826395824,1.1102230246251565e-16,True
cross_experiment,experiment3_to_experiment2,Pupil,20,200,5000,20,5,0.615,0.5997816991086047,0.6761999999999999,0.6695047842540187,0.615,0.5209519647019648,1.1102230246251565e-16,True
within_experiment,experiment2,ECG,20,200,5000,20,5,0.525,0.48912371272619715,0.52145,0.5524449915704234,0.525,0.38919413919413914,1.1102230246251565e-16,True
within_experiment,experiment2,ECG_EEG,20,200,5000,20,5,0.55,0.5366079703429101,0.5527,0.563260324509854,0.5499999999999999,0.4239323176823177,1.1102230246251565e-16,True
within_experiment,experiment2,ECG_EEG_Pupil,20,200,5000,20,5,0.6,0.595959595959596,0.6798000000000001,0.6593214135689804,0.6,0.48103008103008105,1.1102230246251565e-16,True
within_experiment,experiment2,ECG_Pupil,20,200,5000,20,5,0.515,0.501426331885585,0.6118999999999999,0.5964703664191522,0.5149999999999999,0.3835164835164835,1.1102230246251565e-16,True
within_experiment,experiment2,EEG,20,200,5000,20,5,0.575,0.5749043534795328,0.6496,0.6486946536953158,0.5750000000000001,0.4656308968808968,1.1102230246251565e-16,True
within_experiment,experiment2,EEG_Pupil,20,200,5000,20,5,0.5900000000000001,0.5896306676008407,0.6524,0.6424542898554568,0.59,0.4752927627927629,1.1102230246251565e-16,True
within_experiment,experiment2,Pupil,20,200,5000,20,5,0.595,0.5937711577522005,0.65555,0.6208735307428269,0.595,0.5027783327783328,1.1102230246251565e-16,True
within_experiment,experiment3,ECG,16,192,5000,16,6,0.5,0.4748717948717949,0.48980034722222227,0.5044918572144645,0.5,0.3713459742871507,6.938893903907228e-17,True
within_experiment,experiment3,ECG_EEG,16,192,5000,16,6,0.625,0.623979980415624,0.6703559027777778,0.6803453477765882,0.625,0.516853459040959,1.1102230246251565e-16,True
within_experiment,experiment3,ECG_EEG_Pupil,16,192,5000,16,6,0.6302083333333334,0.63011803011803,0.6759982638888888,0.6472820600734166,0.6302083333333333,0.5360616609697492,2.220446049250313e-16,True
within_experiment,experiment3,ECG_Pupil,16,192,5000,16,6,0.5833333333333333,0.5804195804195804,0.6304253472222222,0.6052358614810533,0.5833333333333333,0.48187884419502064,1.1102230246251565e-16,True
within_experiment,experiment3,EEG,16,192,5000,16,6,0.5260416666666666,0.5203031051807924,0.596896701388889,0.5934283726334506,0.5260416666666666,0.4007440476190476,6.245004513516506e-17,True
within_experiment,experiment3,EEG_Pupil,16,192,5000,16,6,0.6145833333333333,0.6145415084102008,0.6748046875,0.652297747010123,0.6145833333333334,0.523656337535014,1.1102230246251565e-16,True
within_experiment,experiment3,Pupil,16,192,5000,16,6,0.609375,0.6036879042245769,0.7460937500000001,0.7674655773961554,0.609375,0.5219349686261452,1.1102230246251565e-16,True
