selection_type,protocol,path,selected_value,selection_count
effective_top_k,cross_experiment,ECG,16,2
effective_top_k,cross_experiment,ECG_EEG,50,2
effective_top_k,cross_experiment,ECG_EEG_Pupil,269,1
effective_top_k,cross_experiment,ECG_EEG_Pupil,50,1
effective_top_k,cross_experiment,ECG_Pupil,20,1
effective_top_k,cross_experiment,ECG_Pupil,37,1
effective_top_k,cross_experiment,EEG,100,1
effective_top_k,cross_experiment,EEG,232,1
effective_top_k,cross_experiment,EEG_Pupil,20,2
effective_top_k,cross_experiment,Pupil,20,1
effective_top_k,cross_experiment,Pupil,21,1
effective_top_k,within_experiment,ECG,16,36
effective_top_k,within_experiment,ECG_EEG,100,11
effective_top_k,within_experiment,ECG_EEG,20,6
effective_top_k,within_experiment,ECG_EEG,248,9
effective_top_k,within_experiment,ECG_EEG,50,10
effective_top_k,within_experiment,ECG_EEG_Pupil,100,12
effective_top_k,within_experiment,ECG_EEG_Pupil,20,7
effective_top_k,within_experiment,ECG_EEG_Pupil,269,5
effective_top_k,within_experiment,ECG_EEG_Pupil,50,12
effective_top_k,within_experiment,ECG_Pupil,20,22
effective_top_k,within_experiment,ECG_Pupil,37,14
effective_top_k,within_experiment,EEG,100,6
effective_top_k,within_experiment,EEG,20,14
effective_top_k,within_experiment,EEG,232,7
effective_top_k,within_experiment,EEG,50,9
effective_top_k,within_experiment,EEG_Pupil,100,9
effective_top_k,within_experiment,EEG_Pupil,20,12
effective_top_k,within_experiment,EEG_Pupil,253,7
effective_top_k,within_experiment,EEG_Pupil,50,8
effective_top_k,within_experiment,Pupil,20,29
effective_top_k,within_experiment,Pupil,21,7
model,cross_experiment,,extra_trees,5
model,cross_experiment,,xgboost,9
model,within_experiment,,extra_trees,120
model,within_experiment,,xgboost,132
threshold,cross_experiment,,0.3,1
threshold,cross_experiment,,0.4,4
threshold,cross_experiment,,0.5,2
threshold,cross_experiment,,0.6,5
threshold,cross_experiment,,0.7,2
threshold,within_experiment,,0.3,29
threshold,within_experiment,,0.4,58
threshold,within_experiment,,0.5,75
threshold,within_experiment,,0.6,66
threshold,within_experiment,,0.7,24
