duration_seconds,scientific_role,analysis_type,dataset_or_direction,path,participants,recordings,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,pooled_roc_auc,pooled_pr_auc,participant_macro_accuracy,participant_macro_balanced_accuracy,participant_macro_macro_f1,participant_macro_roc_auc,participant_macro_pr_auc,pooled_balanced_accuracy_ci_lower,pooled_balanced_accuracy_ci_upper,pooled_macro_f1_ci_lower,pooled_macro_f1_ci_upper,participant_macro_balanced_accuracy_ci_lower,participant_macro_balanced_accuracy_ci_upper,participant_macro_macro_f1_ci_lower,participant_macro_macro_f1_ci_upper,threshold_values,summary_sha256,bootstrap_sha256,all_numerical_checks_passed,descriptive_rank_within_setting
4,matched_sensitivity_reference,cross_experiment,experiment2_to_experiment3,ECG_EEG_Pupil,16,187,0.641711229946524,0.645823798627002,0.618634523483396,0.667505720823799,0.680814433858611,0.640388257575758,0.635416666666667,0.552424031238369,0.789930555555556,0.825147306397306,0.571125015158865,0.72918835812357,0.510152539883577,0.717948717948718,0.5625,0.71875,0.44587835265225,0.670433192343808,0.6,509a0a2720bcfa0187995aef750f53d573d3ddc4988a8e66f42a622b85fbbe26,3adac065b26970810c8fd7b56bb9f161f0536bddf40b0260305d7eed1afde5d4,True,1
4,matched_sensitivity_reference,cross_experiment,experiment2_to_experiment3,EEG,16,187,0.647058823529412,0.643020594965675,0.621039056742815,0.654805491990847,0.631992783646816,0.646070075757576,0.647916666666667,0.552153361344538,0.795833333333333,0.82672821969697,0.556059782608696,0.736842105263158,0.496599583622484,0.728071730745303,0.564583333333333,0.738541666666667,0.434247198879552,0.677749474789916,0.4,e9b1c64c93748e6ff083ac40d245e0c9fd5120da8fa3fd7122c631ab7b04acec,4120eaa6ede1be14ca3a701da2da94ab3d3e7dfbdb0fed8cb3885f69e374e05e,True,2
4,matched_sensitivity_reference,cross_experiment,experiment2_to_experiment3,ECG_EEG,16,187,0.636363636363636,0.631979405034325,0.604601990049751,0.672654462242563,0.640927185095736,0.635653409090909,0.625,0.526345315223992,0.781597222222222,0.825921792328042,0.552083333333333,0.71384513658974,0.476142927365256,0.705790360391375,0.546875,0.708333333333333,0.414684201368484,0.642610584115639,0.4,92bc42d8c4fd095bbe5b479be5a693a1adfdb459f2ab60545b2925182dfdecdd,3cd77f0fd5ae4c2c51ce26f2114fcf5392cae8fb8ddab89aeb6dba52aea00d2c,True,3
4,matched_sensitivity_reference,cross_experiment,experiment2_to_experiment3,EEG_Pupil,16,187,0.593582887700535,0.597254004576659,0.573059360730594,0.694965675057208,0.69138999908484,0.593039772727273,0.590625,0.503542790950879,0.783333333333333,0.82818737974988,0.53800682923341,0.664988798045799,0.467741935483871,0.658614872105688,0.530208333333333,0.659375,0.415322882030143,0.602873515373515,0.6,8004c7fa573d42299eb7cba3b464038fdb667e51c412f8722a0d56ede42a0e1e,d65013d95cbade225bbf7c336d33975bba8ad0388d83d977b8b9a592ec659b81,True,4
4,matched_sensitivity_reference,cross_experiment,experiment2_to_experiment3,Pupil,16,187,0.572192513368984,0.567276887871854,0.52489837398374,0.704576659038902,0.683849112820818,0.574573863636364,0.565625,0.455164453601954,0.838541666666667,0.872933576839827,0.523970251716247,0.618848979842688,0.431174570797212,0.59952163621814,0.520833333333333,0.61875,0.380952380952381,0.540862475198412,0.4,2f584dbcf85e2a08dcf5059a46c665f12daff40deff3b25539e84e7a3b5d48de,52e6abb807efb1d7f0c1b9268d0369d217f1668038eb5f23aaebba45551ce561,True,5
4,matched_sensitivity_reference,cross_experiment,experiment2_to_experiment3,ECG_Pupil,16,187,0.556149732620321,0.556121281464531,0.556098956098956,0.569679633867277,0.604131955094039,0.557054924242424,0.552083333333333,0.427205040670114,0.728125,0.762471440596441,0.505842008868325,0.617499538173994,0.49366406544181,0.614027831122404,0.505208333333333,0.609375,0.352315465248599,0.518920474439776,0.3,98b1c99187cfcb8cf811837a4d953052091f11b07c81f59f63a8d07f094c70df,4ab1a2db87edbb3c55cadeffb23c0912959bf8d49a8509942106f5a2a1b1257f,True,6
4,matched_sensitivity_reference,cross_experiment,experiment2_to_experiment3,ECG,16,187,0.508021390374332,0.510983981693364,0.492207792207792,0.525858123569794,0.537727203331081,0.510179924242424,0.505208333333333,0.378019269333608,0.554513888888889,0.689323292448292,0.453125,0.567094952181388,0.402403978594407,0.555505214853767,0.447916666666667,0.557291666666667,0.318224474284906,0.450405242735206,0.4,c98de50d6c7b4a37282e52d264efe95111c74ca2d7f86b817dd9f2eec6ab9ca2,c3ef589aeaddc7c840a9113f8fa5b961a5243a5e759b535b2b40fe12e44bf8dd,True,7
4,matched_sensitivity_reference,cross_experiment,experiment3_to_experiment2,Pupil,20,200,0.61,0.61,0.596940884663084,0.6749,0.664968574830022,0.61,0.61,0.518204711954712,0.744,0.794373015873016,0.535,0.695,0.49813254983466,0.689270979399423,0.535,0.695,0.418884726384726,0.63031282953158,0.6,708e73ba64da2cc0a159a37c46d9ad4d3b0167bbd94c5a6aee4ba4d871dec949,5c83cb132c552057ef3c09e654dff7939c1f4216198dd1130b569f960cb8c0e8,True,1
4,matched_sensitivity_reference,cross_experiment,experiment3_to_experiment2,ECG_EEG_Pupil,20,200,0.58,0.58,0.576570218772054,0.6257,0.595846099513074,0.58,0.58,0.471611721611722,0.792,0.827281746031746,0.52,0.655,0.502153961116106,0.649883663065102,0.52,0.655,0.387912087912088,0.569418498168498,0.7,87f9947cd87f8efe6547190cefd945222369df415860ea923b7fb9cf028dfa34,45975548eee3ee0f0f4afe165a0fe29810db2646f7fdd083b6eec26856d6470c,True,2
4,matched_sensitivity_reference,cross_experiment,experiment3_to_experiment2,EEG_Pupil,20,200,0.58,0.58,0.556541019955654,0.6388,0.63177135353973,0.58,0.58,0.461428155178155,0.848,0.877373015873016,0.515,0.66,0.457721872816212,0.645418221269614,0.515,0.66,0.369669913419913,0.567406343656344,0.6,8ab5ace444ff7c8508cd30398e28f8fb39724d0220564ff2ecf3d93867d9220e,8ff122a697b863fac8d85405165f6a85d697444f70a01c522bbf03057290590b,True,3
4,matched_sensitivity_reference,cross_experiment,experiment3_to_experiment2,ECG_Pupil,20,200,0.575,0.575,0.552337063857801,0.6062,0.633810797338628,0.575,0.575,0.471335608835609,0.752,0.808396825396825,0.5,0.66,0.450117831893166,0.647136413242193,0.5,0.66,0.375729392135642,0.578845356032856,0.6,833e9099e5a79270a38c32342b3cce441850347bb36101a9997fe1f91b396e98,697db1b89a264a27be58616140a8361128e74555a70f26f758d7ac169d88e1f8,True,4
4,matched_sensitivity_reference,cross_experiment,experiment3_to_experiment2,ECG_EEG,20,200,0.52,0.52,0.461339916956571,0.6652,0.586267087035282,0.52,0.52,0.369230769230769,0.804,0.84602380952381,0.5,0.545,0.382773777237445,0.512463631359597,0.5,0.545,0.333333333333333,0.414652014652015,0.6,1326516f469533be59ab395bb8cf076d564f12d80469f65886f5f4fb2fa7433e,1b94c019d8a65e0d53311fb9c6bf2910538d89a093b2d0f399a97b58d151fd5e,True,5
4,matched_sensitivity_reference,cross_experiment,experiment3_to_experiment2,EEG,20,200,0.515,0.515,0.419839110021233,0.6231,0.620541266849373,0.515,0.515,0.379464285714286,0.746,0.802539682539683,0.47,0.56,0.337318087318087,0.498144473444168,0.47,0.56,0.329166666666667,0.438690476190476,0.6,240f64b38744360c6e25741f1528529274bf78e075a2332b02e90dd6e05eae05,edc8a2e4b8621132b32872c9ca15a1accaa8a78e1f021ccbc8f68cac4b14b40a,True,6
4,matched_sensitivity_reference,cross_experiment,experiment3_to_experiment2,ECG,20,200,0.49,0.49,0.481232834909979,0.4935,0.520007435040726,0.49,0.49,0.362110805860806,0.452,0.605353174603175,0.4,0.58,0.376086229946524,0.570262140094542,0.4,0.58,0.279156936813187,0.458931433150182,0.5,a2857b04bb6e04b4d335ceae60c320e398c5e264cd4f6e97164519bd5aff8264,1967dce98bd65138610a93dc00d1dfdb3d014fe1ab28205d00d063f36d7c48a9,True,7
4,matched_sensitivity_reference,within_experiment,experiment2,ECG_EEG_Pupil,20,200,0.6,0.6,0.595959595959596,0.6798,0.65932141356898,0.6,0.6,0.481030081030081,0.794,0.836047619047619,0.535,0.68,0.519802680325324,0.67316153362665,0.535,0.68,0.386080586080586,0.587989787989788,"0.3,0.4,0.5,0.6,0.7",9e6c43ce1adea3bc9ec6cf936f499e6e3471be5b5ce031d4b45d54d087c4f0ca,c9eb01b20960eef3b77d0d0ac1e81efdd6965c1739b28aa42519f206621bc777,True,1
4,matched_sensitivity_reference,within_experiment,experiment2,Pupil,20,200,0.595,0.595,0.5937711577522,0.65555,0.620873530742827,0.595,0.595,0.502778332778333,0.772,0.813607142857143,0.53,0.67,0.524892407887118,0.664926283455654,0.53,0.67,0.416977078477078,0.600059579309579,"0.3,0.4,0.5,0.6,0.7",28a01094a1f6b31755909c61c5bab55b24a647c0701ea607c97dc349cc978784,515f66ca83a9a230e084b6c0284e681244f8332c6b3b42152c0d37c01f03e04d,True,2
4,matched_sensitivity_reference,within_experiment,experiment2,EEG_Pupil,20,200,0.59,0.59,0.589630667600841,0.6524,0.642454289855457,0.59,0.59,0.475292762792763,0.818,0.84115873015873,0.53,0.665,0.51955918980929,0.662575584398663,0.53,0.665,0.385393772893773,0.576991064491065,"0.3,0.4,0.5,0.6,0.7",e6807b80aae04b990ad1c0da6b613e80095b66d839d9b238937edbad8adbb416,c1d1cc0b37fc60faaae3b04ce1806b5cce5409f6199d5aaa64fd954000f9daab,True,3
4,matched_sensitivity_reference,within_experiment,experiment2,EEG,20,200,0.575,0.575,0.574904353479533,0.6496,0.648694653695316,0.575,0.575,0.465630896880897,0.738,0.784230158730159,0.53,0.63,0.521920455701353,0.626262626262626,0.53,0.63,0.39166298978799,0.547136717449217,"0.3,0.4,0.5,0.6,0.7",346c0052c63e86600d8f5bb2ebf5a12851b74889a84b6c4cf30a8117f8fedda0,9cf498c20debda27be44eb76c4451bcc21436cedccd693c26e52529b4c36001c,True,4
