duration_seconds,scientific_role,analysis_type,dataset_or_direction,path,participants,recordings,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,pooled_roc_auc,pooled_pr_auc,participant_macro_accuracy,participant_macro_balanced_accuracy,participant_macro_macro_f1,participant_macro_roc_auc,participant_macro_pr_auc,pooled_balanced_accuracy_ci_lower,pooled_balanced_accuracy_ci_upper,pooled_macro_f1_ci_lower,pooled_macro_f1_ci_upper,participant_macro_balanced_accuracy_ci_lower,participant_macro_balanced_accuracy_ci_upper,participant_macro_macro_f1_ci_lower,participant_macro_macro_f1_ci_upper,threshold_values,summary_sha256,bootstrap_sha256,all_numerical_checks_passed,descriptive_rank_within_setting,primary_four_second_392_recording_analysis_replaced
32,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,EEG_Pupil,16,187,0.6524064171123,0.650514874141876,0.646585060913558,0.671281464530892,0.64021377741162,0.651751893939394,0.641666666666667,0.5668211996337,0.832986111111111,0.866518683862434,0.575591713659148,0.731092616941589,0.55476060369503,0.729137276180141,0.56875,0.723958333333333,0.464585084033613,0.674793417366947,0.4,8a1e12189d5f15dc315433958198dc28290495700ff70fc84eab346ac9aae111,7438375dc79b43a51f77e766e09a51348f0a04ec0a09dab1c20b5b0a9d1b78be,True,1,False
32,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,EEG,16,187,0.647058823529412,0.644565217391304,0.637085391672548,0.677231121281465,0.660690571572892,0.649147727272727,0.65,0.567523101898102,0.828125,0.877217487373737,0.566044635546485,0.731180579684325,0.531926117775354,0.728441784270593,0.572916666666667,0.733333333333333,0.461044183298319,0.682145596437876,0.5,acd4fbdc208f0c94f840c7053d6c49fb0e4d9e4275c1a17b2ee528093da51036,8801a5f285cbc86f2055d4ecf466fdd3501e6c3ecab01caa74873faf42509d19,True,2,False
32,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_EEG_Pupil,16,187,0.641711229946524,0.640160183066361,0.63756544881252,0.702745995423341,0.726047635353261,0.641335227272727,0.633333333333333,0.544197928297193,0.823611111111111,0.856260897667148,0.562941477189737,0.727508798457838,0.550720867441275,0.724607556227789,0.558307291666667,0.721875,0.439129497953027,0.661315988698801,0.4,de53436e6d2fbe0e0989d09c3b416ace701e3aa6d7cc316c1fd6135c68dfa561,961223ecd41768515a185d2370379e921e071ead18a99ebb21cae5f8ece79fea,True,3,False
32,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_EEG,16,187,0.572192513368984,0.572597254004577,0.5720823798627,0.643935926773455,0.632440809751304,0.576704545454546,0.579166666666667,0.485869599150849,0.744791666666667,0.813291771885522,0.513541666666667,0.642653395658715,0.505693217269448,0.640642924938453,0.515625,0.653125,0.400227792912765,0.583794989604962,0.7,ea0bd0f28ac3f4918bc1b51ff27d4b63615dd79a8fbbe070d5dfe6d82ef704b3,377f66e26c827a5536a547c7c5d82103220a10815b302097385db1ccec4bcad2,True,4,False
32,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_Pupil,16,187,0.529411764705882,0.532379862700229,0.514285714285714,0.626830663615561,0.663162133412345,0.531013257575758,0.526041666666667,0.381848773163111,0.865625,0.885822135040885,0.50493346291866,0.566157328805886,0.437541559798613,0.553113553113553,0.5,0.557291666666667,0.338441506410256,0.437326276664512,0.4,7d17deddc4061c4bd0fcf3625a03ee21bb5d52cef199dbb3c05a251722fec362,6db9699eea42222fdec21eeeecc38999e5c9bd42c0d17d039f40de3ba43b5fbc,True,5,False
32,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,Pupil,16,187,0.513368983957219,0.519508009153318,0.434068309554691,0.615102974828375,0.614291639360151,0.510179924242424,0.520833333333333,0.386882128288378,0.719791666666667,0.790546461640212,0.499780701754386,0.545333313818473,0.354915205518827,0.494632664590038,0.5,0.546875,0.338596299533799,0.441269147519147,0.6,fb6e8c533c867f3b746134a781c9ee11ed26c91e8d8174660d1491429bade691,0ffaff65a5364452a6635d99cc1cb6f990ac556d576b9cdf313c903d1695a01f,True,6,False
32,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG,16,187,0.470588235294118,0.471567505720824,0.469069947517853,0.490732265446224,0.540190355589735,0.473721590909091,0.46875,0.369338713778052,0.48125,0.617821894540645,0.394628559442571,0.547753320747851,0.38208094387899,0.54325494083399,0.395833333333333,0.541666666666667,0.298674391631653,0.452156089544646,0.4,5d5201deb5cd40d0fb037223d6c83100af7122746d6a43bc04c8c51088c9eaad,9959bab4e6d852fbc73f7e7c00a2141d13aa5fc2844a0f6e7eb5ccc72b9e2743,True,7,False
32,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,EEG_Pupil,20,200,0.635,0.635,0.634990874771869,0.6496,0.668252140516526,0.635,0.635,0.546574814074814,0.764,0.796095238095238,0.55,0.725,0.547101449275362,0.723454095123234,0.55,0.725,0.43731991966367,0.663998695748696,0.7,0e9f6410684a2aefe8f5c2b60914582c3a73cb81e74b21198df68665a61d7b01,d6a574a6bdf957b20880646ae3cf61947d29dde50aaae8cc41f854982169bffe,True,1,False
32,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,EEG,20,200,0.61,0.61,0.588216661387393,0.673,0.645451150212912,0.61,0.61,0.509010572760573,0.814,0.843579365079365,0.54,0.69,0.491087596833717,0.681621177855932,0.54,0.69,0.412961760461761,0.618078303640804,0.3,ae0f913872bf26424b6ec846e967a5078d3f8c656eec6cd8b53a4b16b3678711,c252d36ea36934427c4b83162f1fb3a413cb5bd69e0082c85ecf693aeeafa381,True,2,False
32,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,Pupil,20,200,0.6,0.6,0.563271099465007,0.6731,0.666203289331008,0.6,0.6,0.503749722499723,0.778,0.823412698412698,0.545,0.66,0.475783475783476,0.641707285615647,0.545,0.66,0.422133422133422,0.592140810578311,0.6,363ac3b6571c8847d4bb76f04f6d03bc3b2f8b84193898dc440f49180fb9d1db,bcf2c843cb7a654147d7201b482e78a029b2e2a267fad9c74d9853db259e6896,True,3,False
