duration_seconds,scientific_role,analysis_type,dataset_or_direction,path,participants,recordings,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,pooled_roc_auc,pooled_pr_auc,participant_macro_accuracy,participant_macro_balanced_accuracy,participant_macro_macro_f1,participant_macro_roc_auc,participant_macro_pr_auc,pooled_balanced_accuracy_ci_lower,pooled_balanced_accuracy_ci_upper,pooled_macro_f1_ci_lower,pooled_macro_f1_ci_upper,participant_macro_balanced_accuracy_ci_lower,participant_macro_balanced_accuracy_ci_upper,participant_macro_macro_f1_ci_lower,participant_macro_macro_f1_ci_upper,threshold_values,summary_sha256,bootstrap_sha256,all_numerical_checks_passed,descriptive_rank_within_setting,temporal_role,primary_four_second_392_recording_analysis_replaced,reference_04s_balanced_accuracy,reference_04s_macro_f1,reference_04s_roc_auc,reference_04s_pr_auc,delta_balanced_accuracy_vs_04s,delta_macro_f1_vs_04s,delta_roc_auc_vs_04s,delta_pr_auc_vs_04s,temporal_descriptive_rank_within_setting_duration
4,matched_sensitivity_reference,cross_experiment,experiment2_to_experiment3,ECG_EEG_Pupil,16,187,0.641711229946524,0.645823798627002,0.618634523483396,0.667505720823799,0.680814433858611,0.640388257575758,0.635416666666667,0.552424031238369,0.789930555555556,0.825147306397306,0.571125015158865,0.72918835812357,0.510152539883577,0.717948717948718,0.5625,0.71875,0.44587835265225,0.670433192343808,0.6,509a0a2720bcfa0187995aef750f53d573d3ddc4988a8e66f42a622b85fbbe26,3adac065b26970810c8fd7b56bb9f161f0536bddf40b0260305d7eed1afde5d4,True,1,matched_four_second_reference,,0.645823798627002,0.618634523483396,0.667505720823799,0.680814433858611,0,0,0,0,1
4,matched_sensitivity_reference,cross_experiment,experiment2_to_experiment3,EEG,16,187,0.647058823529412,0.643020594965675,0.621039056742815,0.654805491990847,0.631992783646816,0.646070075757576,0.647916666666667,0.552153361344538,0.795833333333333,0.82672821969697,0.556059782608696,0.736842105263158,0.496599583622484,0.728071730745303,0.564583333333333,0.738541666666667,0.434247198879552,0.677749474789916,0.4,e9b1c64c93748e6ff083ac40d245e0c9fd5120da8fa3fd7122c631ab7b04acec,4120eaa6ede1be14ca3a701da2da94ab3d3e7dfbdb0fed8cb3885f69e374e05e,True,2,matched_four_second_reference,,0.643020594965675,0.621039056742815,0.654805491990847,0.631992783646816,0,0,0,0,2
4,matched_sensitivity_reference,cross_experiment,experiment2_to_experiment3,ECG_EEG,16,187,0.636363636363636,0.631979405034325,0.604601990049751,0.672654462242563,0.640927185095736,0.635653409090909,0.625,0.526345315223992,0.781597222222222,0.825921792328042,0.552083333333333,0.71384513658974,0.476142927365256,0.705790360391375,0.546875,0.708333333333333,0.414684201368484,0.642610584115639,0.4,92bc42d8c4fd095bbe5b479be5a693a1adfdb459f2ab60545b2925182dfdecdd,3cd77f0fd5ae4c2c51ce26f2114fcf5392cae8fb8ddab89aeb6dba52aea00d2c,True,3,matched_four_second_reference,,0.631979405034325,0.604601990049751,0.672654462242563,0.640927185095736,0,0,0,0,3
4,matched_sensitivity_reference,cross_experiment,experiment2_to_experiment3,EEG_Pupil,16,187,0.593582887700535,0.597254004576659,0.573059360730594,0.694965675057208,0.69138999908484,0.593039772727273,0.590625,0.503542790950879,0.783333333333333,0.82818737974988,0.53800682923341,0.664988798045799,0.467741935483871,0.658614872105688,0.530208333333333,0.659375,0.415322882030143,0.602873515373515,0.6,8004c7fa573d42299eb7cba3b464038fdb667e51c412f8722a0d56ede42a0e1e,d65013d95cbade225bbf7c336d33975bba8ad0388d83d977b8b9a592ec659b81,True,4,matched_four_second_reference,,0.597254004576659,0.573059360730594,0.694965675057208,0.69138999908484,0,0,0,0,4
4,matched_sensitivity_reference,cross_experiment,experiment2_to_experiment3,Pupil,16,187,0.572192513368984,0.567276887871854,0.52489837398374,0.704576659038902,0.683849112820818,0.574573863636364,0.565625,0.455164453601954,0.838541666666667,0.872933576839827,0.523970251716247,0.618848979842688,0.431174570797212,0.59952163621814,0.520833333333333,0.61875,0.380952380952381,0.540862475198412,0.4,2f584dbcf85e2a08dcf5059a46c665f12daff40deff3b25539e84e7a3b5d48de,52e6abb807efb1d7f0c1b9268d0369d217f1668038eb5f23aaebba45551ce561,True,5,matched_four_second_reference,,0.567276887871854,0.52489837398374,0.704576659038902,0.683849112820818,0,0,0,0,5
4,matched_sensitivity_reference,cross_experiment,experiment2_to_experiment3,ECG_Pupil,16,187,0.556149732620321,0.556121281464531,0.556098956098956,0.569679633867277,0.604131955094039,0.557054924242424,0.552083333333333,0.427205040670114,0.728125,0.762471440596441,0.505842008868325,0.617499538173994,0.49366406544181,0.614027831122404,0.505208333333333,0.609375,0.352315465248599,0.518920474439776,0.3,98b1c99187cfcb8cf811837a4d953052091f11b07c81f59f63a8d07f094c70df,4ab1a2db87edbb3c55cadeffb23c0912959bf8d49a8509942106f5a2a1b1257f,True,6,matched_four_second_reference,,0.556121281464531,0.556098956098956,0.569679633867277,0.604131955094039,0,0,0,0,6
4,matched_sensitivity_reference,cross_experiment,experiment2_to_experiment3,ECG,16,187,0.508021390374332,0.510983981693364,0.492207792207792,0.525858123569794,0.537727203331081,0.510179924242424,0.505208333333333,0.378019269333608,0.554513888888889,0.689323292448292,0.453125,0.567094952181388,0.402403978594407,0.555505214853767,0.447916666666667,0.557291666666667,0.318224474284906,0.450405242735206,0.4,c98de50d6c7b4a37282e52d264efe95111c74ca2d7f86b817dd9f2eec6ab9ca2,c3ef589aeaddc7c840a9113f8fa5b961a5243a5e759b535b2b40fe12e44bf8dd,True,7,matched_four_second_reference,,0.510983981693364,0.492207792207792,0.525858123569794,0.537727203331081,0,0,0,0,7
8,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,EEG_Pupil,16,187,0.689839572192513,0.688386727688787,0.686604253351826,0.708352402745995,0.650981103035064,0.687736742424242,0.677083333333333,0.608519284024799,0.823611111111111,0.847923054954305,0.602243215444503,0.776043567840974,0.588702826210454,0.775350278437836,0.593619791666667,0.765625,0.49352610815961,0.726636162933268,0.4,e2e3f5a36877ce180497eea3975937b31533aff38b4faa31da56a146fb8e569f,dc31bac05c85fd87ac86cf759b05825b54c08de8c63f88a9888a74af3015f187,True,1,post_primary_temporal_sensitivity,False,0.597254004576659,0.573059360730594,0.694965675057208,0.69138999908484,0.0911327231121279,0.113544892621232,0.013386727688787,-0.040408896049776,1
8,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,Pupil,16,187,0.6524064171123,0.652745995423341,0.652366652366652,0.673684210526316,0.665358718774178,0.64749053030303,0.655208333333333,0.584425582587347,0.827083333333333,0.867198397667148,0.578231831221611,0.733701871159334,0.573654247692028,0.732515945518001,0.583333333333333,0.733333333333333,0.48477728970376,0.690023047316246,0.5,351695d87af7cdd9a87a5e6fe2c52c688f25a11ab85f37bc683382e6650b1bdd,ccec8154964735238710d7b855596c162959b51fb4cfc798afe748927d0cd846,True,2,post_primary_temporal_sensitivity,False,0.567276887871854,0.52489837398374,0.704576659038902,0.683849112820818,0.085469107551487,0.127468278382912,-0.030892448512586,-0.01849039404664,2
8,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_EEG,16,187,0.6524064171123,0.647940503432494,0.620784325960128,0.688100686498856,0.64618981194359,0.651278409090909,0.640625,0.543453727644904,0.805555555555556,0.840563371813372,0.559135137840311,0.743067180895372,0.476408144762193,0.736103440820364,0.557291666666667,0.734375,0.422986694677871,0.671363357843137,0.4,f63233c5311d990ee8706da9af55747b347e8d36a5570a535ae2fd4bc31a25ca,628417b70a626dc410b34af331f81669741addb2c3b23b1478a5c953f8526846,True,3,post_primary_temporal_sensitivity,False,0.631979405034325,0.604601990049751,0.672654462242563,0.640927185095736,0.0159610983981689,0.016182335910377,0.0154462242562931,0.00526262684785406,3
