duration_seconds,path,contracts_checked,original_feature_count_min,original_feature_count_max,retained_feature_count_min,retained_feature_count_max,removed_feature_count_min,removed_feature_count_max,constant_feature_count_min,constant_feature_count_max,duplicate_feature_count_min,duplicate_feature_count_max,unclassified_removed_feature_count_min,unclassified_removed_feature_count_max,cleanup_subtype_breakdown_complete_all,candidate_count_min,candidate_count_max,candidate_fits,role_contracts_passed,candidate_contracts_passed
4,EEG,38,232,232,232,232,0,0,0,0,0,0,0,0,True,8,8,304,True,True
4,ECG,38,16,16,16,16,0,0,0,0,0,0,0,0,True,2,2,76,True,True
4,Pupil,38,23,23,21,21,2,2,0,0,0,0,2,2,False,4,4,152,True,True
4,ECG_EEG,38,248,248,248,248,0,0,0,0,0,0,0,0,True,8,8,304,True,True
4,ECG_Pupil,38,39,39,37,37,2,2,0,0,0,0,2,2,False,4,4,152,True,True
4,EEG_Pupil,38,255,255,253,253,2,2,0,0,0,0,2,2,False,8,8,304,True,True
4,ECG_EEG_Pupil,38,271,271,269,269,2,2,0,0,0,0,2,2,False,8,8,304,True,True
8,EEG,38,232,232,232,232,0,0,0,0,0,0,0,0,True,8,8,304,True,True
8,ECG,38,16,16,16,16,0,0,0,0,0,0,0,0,True,2,2,76,True,True
8,Pupil,38,23,23,21,21,2,2,0,0,0,0,2,2,False,4,4,152,True,True
8,ECG_EEG,38,248,248,248,248,0,0,0,0,0,0,0,0,True,8,8,304,True,True
8,ECG_Pupil,38,39,39,37,37,2,2,0,0,0,0,2,2,False,4,4,152,True,True
8,EEG_Pupil,38,255,255,253,253,2,2,0,0,0,0,2,2,False,8,8,304,True,True
8,ECG_EEG_Pupil,38,271,271,269,269,2,2,0,0,0,0,2,2,False,8,8,304,True,True
16,EEG,38,232,232,232,232,0,0,0,0,0,0,0,0,True,8,8,304,True,True
16,ECG,38,16,16,16,16,0,0,0,0,0,0,0,0,True,2,2,76,True,True
16,Pupil,38,23,23,21,21,2,2,0,0,0,0,2,2,False,4,4,152,True,True
16,ECG_EEG,38,248,248,248,248,0,0,0,0,0,0,0,0,True,8,8,304,True,True
16,ECG_Pupil,38,39,39,37,37,2,2,0,0,0,0,2,2,False,4,4,152,True,True
16,EEG_Pupil,38,255,255,253,253,2,2,0,0,0,0,2,2,False,8,8,304,True,True
16,ECG_EEG_Pupil,38,271,271,269,269,2,2,0,0,0,0,2,2,False,8,8,304,True,True
24,EEG,38,232,232,232,232,0,0,0,0,0,0,0,0,True,8,8,304,True,True
24,ECG,38,16,16,16,16,0,0,0,0,0,0,0,0,True,2,2,76,True,True
24,Pupil,38,23,23,21,21,2,2,0,0,0,0,2,2,False,4,4,152,True,True
24,ECG_EEG,38,248,248,248,248,0,0,0,0,0,0,0,0,True,8,8,304,True,True
24,ECG_Pupil,38,39,39,37,37,2,2,0,0,0,0,2,2,False,4,4,152,True,True
24,EEG_Pupil,38,255,255,253,253,2,2,0,0,0,0,2,2,False,8,8,304,True,True
24,ECG_EEG_Pupil,38,271,271,269,269,2,2,0,0,0,0,2,2,False,8,8,304,True,True
32,EEG,38,232,232,232,232,0,0,0,0,0,0,0,0,True,8,8,304,True,True
32,ECG,38,16,16,16,16,0,0,0,0,0,0,0,0,True,2,2,76,True,True
32,Pupil,38,23,23,21,21,2,2,0,0,0,0,2,2,False,4,4,152,True,True
32,ECG_EEG,38,248,248,248,248,0,0,0,0,0,0,0,0,True,8,8,304,True,True
32,ECG_Pupil,38,39,39,37,37,2,2,0,0,0,0,2,2,False,4,4,152,True,True
32,EEG_Pupil,38,255,255,253,253,2,2,0,0,0,0,2,2,False,8,8,304,True,True
32,ECG_EEG_Pupil,38,271,271,269,269,2,2,0,0,0,0,2,2,False,8,8,304,True,True
