dataset,participant,recordings,labels,all_ecg_usable,all_pupil_usable,minimum_ecg_finite_fraction,minimum_pupil_window_retention,total_candidate_windows,total_accepted_pupil_windows,complete_multimodal_participant,direct_complete_case,cohort_reason
experiment2,experiment2::sub-01,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-02,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-03,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-05,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-06,10,2,True,False,1.0,0.0,1202,1134,False,False,one_or_more_recordings_have_no_valid_pupil_windows
experiment2,experiment2::sub-07,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-08,10,2,False,True,0.0,1.0,1202,1202,False,False,one_or_more_recordings_have_unusable_ecg
experiment2,experiment2::sub-09,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-12,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-13,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-14,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-15,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-16,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-18,10,2,True,False,1.0,0.0,1202,949,False,False,one_or_more_recordings_have_no_valid_pupil_windows
experiment2,experiment2::sub-19,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-20,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-21,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-25,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-29,10,2,False,True,0.0,1.0,1202,1202,False,False,one_or_more_recordings_have_unusable_ecg
experiment2,experiment2::sub-30,10,2,True,False,1.0,0.0,1202,1011,False,False,one_or_more_recordings_have_no_valid_pupil_windows
experiment2,experiment2::sub-31,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-32,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-33,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-34,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-35,10,2,True,True,1.0,1.0,1202,1202,True,True,selected_for_direct_seven_path_cohort
experiment2,experiment2::sub-36,10,2,True,False,1.0,0.0,1202,1113,False,False,one_or_more_recordings_have_no_valid_pupil_windows
experiment3,experiment3::sub-02,12,2,True,True,1.0,0.5654761904761905,1842,1583,True,True,selected_for_direct_seven_path_cohort
experiment3,experiment3::sub-04,12,2,True,True,1.0,0.7099236641221374,1842,1759,True,True,selected_for_direct_seven_path_cohort
experiment3,experiment3::sub-06,12,2,True,True,1.0,0.937007874015748,1842,1829,True,True,selected_for_direct_seven_path_cohort
experiment3,experiment3::sub-07,12,2,True,True,1.0,0.2275132275132275,1842,1528,True,True,selected_for_direct_seven_path_cohort
experiment3,experiment3::sub-09,12,2,True,True,1.0,0.3333333333333333,1842,1358,True,True,selected_for_direct_seven_path_cohort
experiment3,experiment3::sub-18,12,2,True,True,1.0,0.7559055118110236,1842,1726,True,True,selected_for_direct_seven_path_cohort
experiment3,experiment3::sub-19,12,2,True,True,1.0,0.550561797752809,1842,1621,True,True,selected_for_direct_seven_path_cohort
experiment3,experiment3::sub-21,12,2,True,True,1.0,0.9831460674157304,1842,1836,True,True,selected_for_direct_seven_path_cohort
experiment3,experiment3::sub-22,12,2,True,True,1.0,0.9719101123595506,1842,1831,True,True,selected_for_direct_seven_path_cohort
experiment3,experiment3::sub-23,12,2,True,True,1.0,0.9947089947089948,1842,1841,True,True,selected_for_direct_seven_path_cohort
experiment3,experiment3::sub-24,12,2,True,True,1.0,1.0,1842,1842,True,True,selected_for_direct_seven_path_cohort
experiment3,experiment3::sub-25,12,2,True,True,1.0,1.0,1842,1842,True,True,selected_for_direct_seven_path_cohort
experiment3,experiment3::sub-26,12,2,True,True,1.0,0.6850393700787402,1842,1736,True,True,selected_for_direct_seven_path_cohort
experiment3,experiment3::sub-27,12,2,True,True,1.0,0.5669291338582677,1842,1775,True,True,selected_for_direct_seven_path_cohort
experiment3,experiment3::sub-29,12,2,True,True,1.0,1.0,1842,1842,True,True,selected_for_direct_seven_path_cohort
experiment3,experiment3::sub-31,12,2,True,True,1.0,1.0,1842,1842,True,True,selected_for_direct_seven_path_cohort
