recording_id,dataset,participant,subject,session,task,label,condition,original_pupil_valid_fraction,candidate_windows_4s,accepted_windows_4s,rejected_pupil_windows_4s,rejected_nonfinite_feature_windows_4s,available_4s,candidate_windows_8s,accepted_windows_8s,rejected_pupil_windows_8s,rejected_nonfinite_feature_windows_8s,available_8s,candidate_windows_16s,accepted_windows_16s,rejected_pupil_windows_16s,rejected_nonfinite_feature_windows_16s,available_16s,candidate_windows_24s,accepted_windows_24s,rejected_pupil_windows_24s,rejected_nonfinite_feature_windows_24s,available_24s,candidate_windows_32s,accepted_windows_32s,rejected_pupil_windows_32s,rejected_nonfinite_feature_windows_32s,available_32s,temporal_common_complete_case,first_unavailable_duration_seconds,exclusion_reason
experiment2::sub-01::ses-01::stim01,experiment2,experiment2::sub-01,sub-01,ses-01,stim01,1,attentive,1.0,89,89,0,0,True,44,44,0,0,True,21,21,0,0,True,14,14,0,0,True,10,10,0,0,True,True,,
experiment2::sub-01::ses-01::stim02,experiment2,experiment2::sub-01,sub-01,ses-01,stim02,1,attentive,1.0,68,68,0,0,True,33,33,0,0,True,16,16,0,0,True,10,10,0,0,True,7,7,0,0,True,True,,
experiment2::sub-01::ses-01::stim03,experiment2,experiment2::sub-01,sub-01,ses-01,stim03,1,attentive,1.0,191,191,0,0,True,95,95,0,0,True,47,47,0,0,True,31,31,0,0,True,23,23,0,0,True,True,,
experiment2::sub-01::ses-01::stim04,experiment2,experiment2::sub-01,sub-01,ses-01,stim04,1,attentive,1.0,181,181,0,0,True,90,90,0,0,True,44,44,0,0,True,29,29,0,0,True,21,21,0,0,True,True,,
experiment2::sub-01::ses-01::stim05,experiment2,experiment2::sub-01,sub-01,ses-01,stim05,1,attentive,1.0,72,72,0,0,True,35,35,0,0,True,17,17,0,0,True,11,11,0,0,True,8,8,0,0,True,True,,
experiment2::sub-01::ses-02::stim01,experiment2,experiment2::sub-01,sub-01,ses-02,stim01,0,distracted,1.0,89,89,0,0,True,44,44,0,0,True,21,21,0,0,True,14,14,0,0,True,10,10,0,0,True,True,,
experiment2::sub-01::ses-02::stim02,experiment2,experiment2::sub-01,sub-01,ses-02,stim02,0,distracted,1.0,68,68,0,0,True,33,33,0,0,True,16,16,0,0,True,10,10,0,0,True,7,7,0,0,True,True,,
experiment2::sub-01::ses-02::stim03,experiment2,experiment2::sub-01,sub-01,ses-02,stim03,0,distracted,1.0,191,191,0,0,True,95,95,0,0,True,47,47,0,0,True,31,31,0,0,True,23,23,0,0,True,True,,
experiment2::sub-01::ses-02::stim04,experiment2,experiment2::sub-01,sub-01,ses-02,stim04,0,distracted,1.0,181,181,0,0,True,90,90,0,0,True,44,44,0,0,True,29,29,0,0,True,21,21,0,0,True,True,,
experiment2::sub-01::ses-02::stim05,experiment2,experiment2::sub-01,sub-01,ses-02,stim05,0,distracted,1.0,72,72,0,0,True,35,35,0,0,True,17,17,0,0,True,11,11,0,0,True,8,8,0,0,True,True,,
experiment2::sub-02::ses-01::stim01,experiment2,experiment2::sub-02,sub-02,ses-01,stim01,1,attentive,1.0,89,89,0,0,True,44,44,0,0,True,21,21,0,0,True,14,14,0,0,True,10,10,0,0,True,True,,
experiment2::sub-02::ses-01::stim02,experiment2,experiment2::sub-02,sub-02,ses-01,stim02,1,attentive,1.0,68,68,0,0,True,33,33,0,0,True,16,16,0,0,True,10,10,0,0,True,7,7,0,0,True,True,,
experiment2::sub-02::ses-01::stim03,experiment2,experiment2::sub-02,sub-02,ses-01,stim03,1,attentive,1.0,191,191,0,0,True,95,95,0,0,True,47,47,0,0,True,31,31,0,0,True,23,23,0,0,True,True,,
experiment2::sub-02::ses-01::stim04,experiment2,experiment2::sub-02,sub-02,ses-01,stim04,1,attentive,1.0,181,181,0,0,True,90,90,0,0,True,44,44,0,0,True,29,29,0,0,True,21,21,0,0,True,True,,
experiment2::sub-02::ses-01::stim05,experiment2,experiment2::sub-02,sub-02,ses-01,stim05,1,attentive,1.0,72,72,0,0,True,35,35,0,0,True,17,17,0,0,True,11,11,0,0,True,8,8,0,0,True,True,,
experiment2::sub-02::ses-02::stim01,experiment2,experiment2::sub-02,sub-02,ses-02,stim01,0,distracted,1.0,89,89,0,0,True,44,44,0,0,True,21,21,0,0,True,14,14,0,0,True,10,10,0,0,True,True,,
experiment2::sub-02::ses-02::stim02,experiment2,experiment2::sub-02,sub-02,ses-02,stim02,0,distracted,1.0,68,68,0,0,True,33,33,0,0,True,16,16,0,0,True,10,10,0,0,True,7,7,0,0,True,True,,
experiment2::sub-02::ses-02::stim03,experiment2,experiment2::sub-02,sub-02,ses-02,stim03,0,distracted,1.0,191,191,0,0,True,95,95,0,0,True,47,47,0,0,True,31,31,0,0,True,23,23,0,0,True,True,,
experiment2::sub-02::ses-02::stim04,experiment2,experiment2::sub-02,sub-02,ses-02,stim04,0,distracted,1.0,181,181,0,0,True,90,90,0,0,True,44,44,0,0,True,29,29,0,0,True,21,21,0,0,True,True,,
experiment2::sub-02::ses-02::stim05,experiment2,experiment2::sub-02,sub-02,ses-02,stim05,0,distracted,1.0,72,72,0,0,True,35,35,0,0,True,17,17,0,0,True,11,11,0,0,True,8,8,0,0,True,True,,
experiment2::sub-03::ses-01::stim01,experiment2,experiment2::sub-03,sub-03,ses-01,stim01,1,attentive,1.0,89,89,0,0,True,44,44,0,0,True,21,21,0,0,True,14,14,0,0,True,10,10,0,0,True,True,,
experiment2::sub-03::ses-01::stim02,experiment2,experiment2::sub-03,sub-03,ses-01,stim02,1,attentive,1.0,68,68,0,0,True,33,33,0,0,True,16,16,0,0,True,10,10,0,0,True,7,7,0,0,True,True,,
experiment2::sub-03::ses-01::stim03,experiment2,experiment2::sub-03,sub-03,ses-01,stim03,1,attentive,1.0,191,191,0,0,True,95,95,0,0,True,47,47,0,0,True,31,31,0,0,True,23,23,0,0,True,True,,
experiment2::sub-03::ses-01::stim04,experiment2,experiment2::sub-03,sub-03,ses-01,stim04,1,attentive,1.0,181,181,0,0,True,90,90,0,0,True,44,44,0,0,True,29,29,0,0,True,21,21,0,0,True,True,,
experiment2::sub-03::ses-01::stim05,experiment2,experiment2::sub-03,sub-03,ses-01,stim05,1,attentive,1.0,72,72,0,0,True,35,35,0,0,True,17,17,0,0,True,11,11,0,0,True,8,8,0,0,True,True,,
experiment2::sub-03::ses-02::stim01,experiment2,experiment2::sub-03,sub-03,ses-02,stim01,0,distracted,1.0,89,89,0,0,True,44,44,0,0,True,21,21,0,0,True,14,14,0,0,True,10,10,0,0,True,True,,
experiment2::sub-03::ses-02::stim02,experiment2,experiment2::sub-03,sub-03,ses-02,stim02,0,distracted,1.0,68,68,0,0,True,33,33,0,0,True,16,16,0,0,True,10,10,0,0,True,7,7,0,0,True,True,,
experiment2::sub-03::ses-02::stim03,experiment2,experiment2::sub-03,sub-03,ses-02,stim03,0,distracted,1.0,191,191,0,0,True,95,95,0,0,True,47,47,0,0,True,31,31,0,0,True,23,23,0,0,True,True,,
experiment2::sub-03::ses-02::stim04,experiment2,experiment2::sub-03,sub-03,ses-02,stim04,0,distracted,1.0,181,181,0,0,True,90,90,0,0,True,44,44,0,0,True,29,29,0,0,True,21,21,0,0,True,True,,
experiment2::sub-03::ses-02::stim05,experiment2,experiment2::sub-03,sub-03,ses-02,stim05,0,distracted,1.0,72,72,0,0,True,35,35,0,0,True,17,17,0,0,True,11,11,0,0,True,8,8,0,0,True,True,,
experiment2::sub-05::ses-01::stim01,experiment2,experiment2::sub-05,sub-05,ses-01,stim01,1,attentive,1.0,89,89,0,0,True,44,44,0,0,True,21,21,0,0,True,14,14,0,0,True,10,10,0,0,True,True,,
experiment2::sub-05::ses-01::stim02,experiment2,experiment2::sub-05,sub-05,ses-01,stim02,1,attentive,1.0,68,68,0,0,True,33,33,0,0,True,16,16,0,0,True,10,10,0,0,True,7,7,0,0,True,True,,
experiment2::sub-05::ses-01::stim03,experiment2,experiment2::sub-05,sub-05,ses-01,stim03,1,attentive,1.0,191,191,0,0,True,95,95,0,0,True,47,47,0,0,True,31,31,0,0,True,23,23,0,0,True,True,,
experiment2::sub-05::ses-01::stim04,experiment2,experiment2::sub-05,sub-05,ses-01,stim04,1,attentive,1.0,181,181,0,0,True,90,90,0,0,True,44,44,0,0,True,29,29,0,0,True,21,21,0,0,True,True,,
experiment2::sub-05::ses-01::stim05,experiment2,experiment2::sub-05,sub-05,ses-01,stim05,1,attentive,1.0,72,72,0,0,True,35,35,0,0,True,17,17,0,0,True,11,11,0,0,True,8,8,0,0,True,True,,
experiment2::sub-05::ses-02::stim01,experiment2,experiment2::sub-05,sub-05,ses-02,stim01,0,distracted,1.0,89,89,0,0,True,44,44,0,0,True,21,21,0,0,True,14,14,0,0,True,10,10,0,0,True,True,,
experiment2::sub-05::ses-02::stim02,experiment2,experiment2::sub-05,sub-05,ses-02,stim02,0,distracted,1.0,68,68,0,0,True,33,33,0,0,True,16,16,0,0,True,10,10,0,0,True,7,7,0,0,True,True,,
experiment2::sub-05::ses-02::stim03,experiment2,experiment2::sub-05,sub-05,ses-02,stim03,0,distracted,1.0,191,191,0,0,True,95,95,0,0,True,47,47,0,0,True,31,31,0,0,True,23,23,0,0,True,True,,
experiment2::sub-05::ses-02::stim04,experiment2,experiment2::sub-05,sub-05,ses-02,stim04,0,distracted,1.0,181,181,0,0,True,90,90,0,0,True,44,44,0,0,True,29,29,0,0,True,21,21,0,0,True,True,,
experiment2::sub-05::ses-02::stim05,experiment2,experiment2::sub-05,sub-05,ses-02,stim05,0,distracted,1.0,72,72,0,0,True,35,35,0,0,True,17,17,0,0,True,11,11,0,0,True,8,8,0,0,True,True,,
experiment2::sub-07::ses-01::stim01,experiment2,experiment2::sub-07,sub-07,ses-01,stim01,1,attentive,1.0,89,89,0,0,True,44,44,0,0,True,21,21,0,0,True,14,14,0,0,True,10,10,0,0,True,True,,
experiment2::sub-07::ses-01::stim02,experiment2,experiment2::sub-07,sub-07,ses-01,stim02,1,attentive,1.0,68,68,0,0,True,33,33,0,0,True,16,16,0,0,True,10,10,0,0,True,7,7,0,0,True,True,,
experiment2::sub-07::ses-01::stim03,experiment2,experiment2::sub-07,sub-07,ses-01,stim03,1,attentive,0.9999799055561136,191,191,0,0,True,95,95,0,0,True,47,47,0,0,True,31,31,0,0,True,23,23,0,0,True,True,,
