Spherical coordinates,,,,Cartesian coordinates,,,,,,Geographic coordinates (EEGLab),,
"The spherical coordinates are in degrees, the head is approximated as a sphere.",,,,"The Radius of the head is r (circumference divided by 2¥ð), assuming the",,,,,,,,
Spherical angles are measured from an imaginary center in the middle of the head.,,,,"head is a perfect sphere. The below Cartesian values are in Millimeters,",,,,,,"sph_phi (elevation): range is from +90 degrees to -90 degrees (at the nose, elevation = 0)",,
http://en.wikipedia.org/wiki/Spherical_coordinate_system,,,,with r calculated from the entered head cirumference.,,,,,,positive elevations are upper half of the head,,
,,,,"The center of the head is located at position 0,0,0.",,,,,,negative elevations are lower half of the head,,
"¥è (inclination): range is from +180 degrees to -180 degrees. (at Cz, inclination = 0)",,,,http://en.wikipedia.org/wiki/Cartesian_coordinate_system,,,,,,,,
positive inclinations are right side of the head,,,,,,,,,,sph_theta (azimuth): range is from +180 degrees to -180 degrees.,,
negative inclinations are left side of the head,,,,Enter the head circumference here: (in centimeters),,,,,,"positive is anti-clockwise, negative is clockwise.(viewed from the top)",,
,,,,,Circumference = ,55,,,,,,
¥õ (azimuth): range is from +90 degrees to -90 degrees.,,,,,¡æ r (in mm) =,87.53522298,,,,,,
"positive is anti-clockwise, negative is clockwise.",,,,"After entering the head circumference, all Cartesian cordinates are scaled accordingly.",,,,,,,,
for positive inclinations: ¥õ = angle from T8 (right ear),,,,,,,,,,,,
for negative inclinations: ¥õ = angle from T7 (left ear),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Electrode,¥è (Inclination),¥õ (Azimuth),,x = r sin¥è cos¥õ,y = r sin¥è sin¥õ,z = r cos¥è,,,,sph_theta,,sph_phi
Fp1,-92,-72,,-27,83,-3,,,,18,,-2
AF7,-92,-54,,-51,71,-3,,,,36,,-2
AF3,-74,-65,,-36,76,24,,,,25,,16
F1,-50,-68,,-25,62,56,,,,22,,40
F3,-60,-51,,-48,59,44,,,,39,,30
F5,-75,-41,,-64,55,23,,,,49,,15
F7,-92,-36,,-71,51,-3,,,,54,,-2
FT7,-92,-18,,-83,27,-3,,,,72,,-2
FC5,-72,-21,,-78,30,27,,,,69,,18
FC3,-50,-28,,-59,31,56,,,,62,,40
FC1,-32,-45,,-33,33,74,,,,45,,58
C1,-23,0,,-34,0,81,,,,90,,67
C3,-46,0,,-63,0,61,,,,90,,44
C5,-69,0,,-82,0,31,,,,90,,21
T7 (T3),-92,0,,-87,0,-3,,,,90,,-2
TP7,-92,18,,-83,-27,-3,,,,108,,-2
CP5,-72,21,,-78,-30,27,,,,111,,18
CP3,-50,28,,-59,-31,56,,,,118,,40
CP1,-32,45,,-33,-33,74,,,,135,,58
P1,-50,68,,-25,-62,56,,,,158,,40
P3,-60,51,,-48,-59,44,,,,141,,30
P5,-75,41,,-64,-55,23,,,,131,,15
P7,-92,36,,-71,-51,-3,,,,126,,-2
P9,-115,36,,-64,-47,-37,,,,126,,-25
PO7,-92,54,,-51,-71,-3,,,,144,,-2
PO3,-74,65,,-36,-76,24,,,,155,,16
O1,-92,72,,-27,-83,-3,,,,162,,-2
Iz (inion),115,-90,,0,-79,-37,,,,-180,,-25
Oz,92,-90,,0,-87,-3,,,,-180,,-2
POz,69,-90,,0,-82,31,,,,-180,,21
Pz,46,-90,,0,-63,61,,,,-180,,44
CPz,23,-90,,0,-34,81,,,,-180,,67
Fpz,92,90,,0,87,-3,,,,0,,-2
Fp2,92,72,,27,83,-3,,,,-18,,-2
