rank,protocol,model,path,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
1,legacy_stratified_window_5fold,MultibranchTCN,ECG_EEG_Pupil,15,5,3,0.8609488125757105,0.020357417984956244,0.824295010845987,0.8980477223427332,0.8474430094357539,0.021905069564125933,0.8093532155945286,0.8836958242003347,0.8472727688059197,0.021840382933588906,0.8071810345756942,0.8859364435429344,0.9553849480367397,0.01314816725192533,0.9287446958987404,0.9732417866489323,0.9119928110255241,0.02736083382821253,0.8551560300851522,0.9438647856284726
2,legacy_repeated_stratified_window_5x3,MultibranchTCN,ECG_EEG_Pupil,45,15,3,0.8554033256853213,0.021115405382542175,0.7939262472885033,0.9023861171366594,0.8404784400529579,0.023197107057920607,0.7589251229418464,0.896351433686025,0.8402556514757655,0.023410019457794477,0.7643076956170081,0.8960001568611168,0.954169533209873,0.011571187018631792,0.9236499779119364,0.9712567426130146,0.9074047088629537,0.022758412951946874,0.8384413249380578,0.9405034406606666
3,legacy_shuffle_split_window,MultibranchTCN,ECG_EEG_Pupil,30,10,3,0.8525252525252525,0.0307146532915527,0.7813852813852814,0.922077922077922,0.8390440887448819,0.03300759397557832,0.7489370738001004,0.9119497343210644,0.8366810334016209,0.03393176236988479,0.7420959311947062,0.9107843679177492,0.954462105481052,0.015869179226987946,0.9121940640186568,0.9852368361369732,0.9089288765830255,0.03095743592720647,0.8193573560401538,0.9656777200648804
4,legacy_repeated_stratified_window_5x3,MultibranchTCN,EEG_Pupil,45,15,3,0.8469226924758378,0.016739196727865613,0.7939262472885033,0.8741865509761388,0.8311240720272501,0.018258162450645914,0.7790406804873228,0.8600695460930446,0.8302614191996129,0.01828964055002698,0.7769118634072146,0.8605192518439165,0.9509067377312411,0.009911773270162651,0.918656853577682,0.970850626031896,0.9006328591406702,0.020401778885001543,0.8297098349478621,0.937244596419779
5,legacy_shuffle_split_window,MultibranchTCN,EEG_Pupil,30,10,3,0.8424242424242425,0.02882430490379901,0.7770562770562771,0.8831168831168831,0.8299218010912112,0.029162558319357778,0.7544110530391018,0.8787383590393326,0.826391309303708,0.030715991284255503,0.7522340389669914,0.8675395624767859,0.9503411298885155,0.012037852107858207,0.919533400254219,0.9674320985616948,0.9017294258043749,0.02317387693607018,0.8397277184879673,0.9413108262136692
6,legacy_stratified_window_5fold,MultibranchTCN,EEG_Pupil,15,5,3,0.8399974332729214,0.029732162240648695,0.7489177489177489,0.8676789587852495,0.8256611257664984,0.027795597554930152,0.7393548574614424,0.8510326951099608,0.8240406500598983,0.028615458105050687,0.7360852354131309,0.8526966141014848,0.9461307640894236,0.019739308186039306,0.8848056437080182,0.9628621941416732,0.892240154282265,0.03587939244239241,0.7896643497129684,0.9239842333448598
7,legacy_repeated_stratified_window_5x3,MultibranchTCN,EEG,45,15,3,0.8209820680408914,0.021169503737251093,0.7677224736048266,0.8627450980392157,0.8088563288563289,0.023224620891921857,0.747985347985348,0.8532356532356532,0.8090071645649021,0.023831198061734903,0.7469489975150353,0.8541670612824932,0.9409442873260537,0.011340023836822484,0.9095452031349468,0.9610028385669412,0.8801873663287914,0.02296283692202803,0.8209500238724896,0.9228121533570728
8,legacy_shuffle_split_window,MultibranchTCN,EEG,30,10,3,0.8177476118652591,0.024340150291179297,0.7300150829562594,0.8582202111613876,0.8036921480720853,0.0250648534260867,0.7208204527291463,0.8451574360461059,0.8033220237382023,0.027827093358438713,0.703065585135743,0.8453645028216293,0.9386731528569695,0.013154664768634085,0.8842789840989106,0.9548914667165894,0.8756708670249191,0.027673889159967855,0.767632043488189,0.915788993005497
9,legacy_stratified_window_5fold,MultibranchTCN,EEG,15,5,3,0.8159879336349927,0.02666619867167417,0.7767722473604827,0.8506787330316742,0.8035327635327637,0.02730239650584008,0.757997557997558,0.8395604395604396,0.8038680246099895,0.029159546686641277,0.754571452152835,0.8412644988749726,0.938397183696329,0.011347794871550076,0.9148599501163602,0.9515505150120536,0.8755954773354792,0.025087680852653126,0.8267242780467341,0.9040499577096296
10,legacy_shuffle_split_window,ShallowConvNet,EEG,30,10,3,0.8049270990447464,0.016801895653103825,0.7616892911010558,0.8401206636500754,0.7888488124869494,0.01739980696622383,0.7377277576506923,0.8156918523581393,0.7898178042182334,0.018024356771137784,0.7393120275018644,0.8235983721913716,0.9296690573478078,0.00755629941670681,0.9066826338631948,0.941633380522926,0.862692140099836,0.01477335623503965,0.8251812550494767,0.8901317211510165
