model,path,selected_duration_seconds,count
MultibranchTCN,ECG,8,7
MultibranchTCN,ECG,16,11
MultibranchTCN,ECG,24,8
MultibranchTCN,ECG,32,13
MultibranchTCN,ECG_EEG,8,16
MultibranchTCN,ECG_EEG,16,6
MultibranchTCN,ECG_EEG,24,7
MultibranchTCN,ECG_EEG,32,10
MultibranchTCN,ECG_EEG_Pupil,8,39
MultibranchTCN,ECG_Pupil,8,39
MultibranchTCN,EEG,8,15
MultibranchTCN,EEG,16,11
MultibranchTCN,EEG,24,5
MultibranchTCN,EEG,32,8
MultibranchTCN,EEG_Pupil,8,39
MultibranchTCN,Pupil,8,39
ShallowConvNet,EEG,8,19
ShallowConvNet,EEG,16,8
ShallowConvNet,EEG,24,4
ShallowConvNet,EEG,32,8
