model,path,selected_duration_seconds,count,percentage
MultibranchTCN,ECG,8,7,17.94871794871795
MultibranchTCN,ECG,16,11,28.205128205128204
MultibranchTCN,ECG,24,8,20.51282051282051
MultibranchTCN,ECG,32,13,33.33333333333333
MultibranchTCN,ECG_EEG,8,16,41.02564102564102
MultibranchTCN,ECG_EEG,16,6,15.384615384615385
MultibranchTCN,ECG_EEG,24,7,17.94871794871795
MultibranchTCN,ECG_EEG,32,10,25.64102564102564
MultibranchTCN,ECG_EEG_Pupil,8,39,100.0
MultibranchTCN,ECG_Pupil,8,39,100.0
MultibranchTCN,EEG,8,15,38.46153846153847
MultibranchTCN,EEG,16,11,28.205128205128204
MultibranchTCN,EEG,24,5,12.82051282051282
MultibranchTCN,EEG,32,8,20.51282051282051
MultibranchTCN,EEG_Pupil,8,39,100.0
MultibranchTCN,Pupil,8,39,100.0
ShallowConvNet,EEG,8,19,48.717948717948715
ShallowConvNet,EEG,16,8,20.51282051282051
ShallowConvNet,EEG,24,4,10.256410256410255
ShallowConvNet,EEG,32,8,20.51282051282051
