rank,model,path,seed,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
1,ShallowConvNet,EEG,42,13,13,1,0.6139993165623592,0.1065168453690177,0.4067796610169492,0.7966101694915254,0.5853445736024923,0.11687581398661354,0.32,0.7647058823529411,0.5315611539567324,0.15335939144723054,0.1927710843373493,0.7515592903828199,0.8411718418353622,0.07985757688118608,0.7374172195099161,0.927404295051354,0.6921975119922698,0.12709787620277363,0.556363935037573,0.8345956636896797
2,ShallowConvNet,EEG,3407,13,13,1,0.5989818596267542,0.1244586308256939,0.4067796610169492,0.8015873015873016,0.575221464067618,0.12385215695249625,0.32,0.7838704088704089,0.5225460558194162,0.14672899601261466,0.1951219512195121,0.7656226889136398,0.8336845664368959,0.09503503838907947,0.7262691061848366,0.906837030959222,0.7031398399928448,0.1483348613669365,0.5430677037855266,0.8359576710858887
3,ShallowConvNet,EEG,2026,13,13,1,0.5971897286490093,0.07534459726253762,0.4406779661016949,0.7023809523809523,0.5685011342703651,0.07978046844025069,0.3592156862745098,0.6712577962577964,0.511769571689134,0.09984112099416166,0.2660237090616837,0.6302508607968519,0.812735338167551,0.0786731986016607,0.7029384884019715,0.9147196554228332,0.683525047476869,0.09526706381951365,0.5571944890549454,0.8071889558654438
4,MultibranchTCN,ECG_EEG,3407,13,13,1,0.5881255990805391,0.15855921108495,0.2936507936507936,0.8048780487804879,0.5567027068837024,0.16166153056703422,0.3034476784476784,0.7859477124183005,0.5039853562963882,0.193871717314184,0.1954022988505747,0.7790686208596657,0.8094474197389465,0.11257426169056202,0.581224523464692,0.9367597935013666,0.6879592102805199,0.11620226537807318,0.4734372578588481,0.8448415835211561
5,MultibranchTCN,ECG_EEG,2026,13,13,1,0.5808245771040315,0.12589684603610748,0.369047619047619,0.7560975609756098,0.551296843310418,0.13439096941674955,0.3333333333333333,0.7222222222222222,0.4862005903037116,0.16946115749227575,0.1984126984126984,0.7235666435666436,0.8061020361134824,0.10756404987076945,0.5597385620915033,0.9280710053181964,0.6633816184134489,0.12485845570621724,0.4336390296777206,0.8578950743921528
6,MultibranchTCN,EEG,3407,13,13,1,0.5715772216392309,0.15787502789045293,0.3089430894308943,0.8536585365853658,0.5476777682660036,0.16695132376035857,0.3191721132897603,0.8700980392156863,0.49528617690079596,0.19677032733230412,0.1984126984126984,0.857037037037037,0.7882157764318395,0.11311911212797462,0.5257493802118548,0.9754761099842236,0.6549300643197221,0.13049636877092602,0.3769872386058748,0.9514821140246336
7,MultibranchTCN,ECG_EEG,42,13,13,1,0.5704440477073797,0.13800875633285728,0.3373015873015873,0.7439024390243902,0.5396538881380509,0.1459392851757487,0.3333333333333333,0.7581699346405228,0.4770000681212785,0.17160803866519256,0.1984126984126984,0.738918335189599,0.8025284569692103,0.09733477740933355,0.6138375350140056,0.9436399719530212,0.6727301558749411,0.10586961613673211,0.5018003539406224,0.8687471097853802
8,MultibranchTCN,EEG,42,13,13,1,0.554663401914332,0.1802860222837523,0.3739837398373983,0.9146341463414634,0.5299924358747888,0.1908817515334323,0.3333333333333333,0.9191176470588236,0.460111742559184,0.23301189211417758,0.1971014492753623,0.911939775910364,0.8025293006453169,0.09847915686749517,0.6381493689429795,0.9995210727969348,0.6728614048419518,0.12976342008299363,0.5125164801619759,0.998931623931624
9,MultibranchTCN,EEG,2026,13,13,1,0.556083528799527,0.15414269392560667,0.2195121951219512,0.753968253968254,0.5262806401946674,0.1599795950554474,0.2282135076252723,0.773995148995149,0.4873125904730712,0.18060753174169258,0.1954022988505747,0.7527020564323291,0.7663943731300845,0.11078764983276553,0.5023367265169157,0.9184125514883942,0.6125402423924335,0.11016107105249187,0.421771670878439,0.8194454180766516
10,MultibranchTCN,ECG_EEG_Pupil,42,13,13,1,0.5315649862651507,0.20742738100488906,0.1690140845070422,0.815028901734104,0.521033257212018,0.1580307873925021,0.2891358024691358,0.7979797979797979,0.45010113264785806,0.18754675339978036,0.1379310344827586,0.7703862032617925,0.7760586856472742,0.11634149697119531,0.542047749931235,0.9333028974383394,0.6620775433378614,0.10376334838554717,0.5277650298497378,0.872133940612641
11,MultibranchTCN,ECG_EEG_Pupil,2026,13,13,1,0.5308507416727223,0.20599368251008154,0.176056338028169,0.7969924812030075,0.47325647083307254,0.13013513240839714,0.3014814814814815,0.7752525252525252,0.3988852121391006,0.15179584686670247,0.1379310344827586,0.5629969322905215,0.7489863569300282,0.09159284077765731,0.5581683104120092,0.8835147037712173,0.5678810352775195,0.06171067272743376,0.4570737870264199,0.6651101058553733
12,MultibranchTCN,ECG_EEG_Pupil,3407,13,13,1,0.5356856704053801,0.2151927519240215,0.1478873239436619,0.8270676691729323,0.4699767814145002,0.12796130549024645,0.2511111111111111,0.6666666666666666,0.41010853308928746,0.18312105637586232,0.1379310344827586,0.7056311631502536,0.7553535332094838,0.11673520021246316,0.5860330298736097,0.9543948228810656,0.6026810238230474,0.11691666405408449,0.4157683085182055,0.9055842631403884
13,MultibranchTCN,EEG_Pupil,42,13,13,1,0.5329625492359653,0.195719483687848,0.1830985915492957,0.7815126050420168,0.4488540511441184,0.12269214435519285,0.3061728395061728,0.6372549019607844,0.3885982253376979,0.16355033610390587,0.1654676258992805,0.6673815481154931,0.7549887808633079,0.08153201152596737,0.6296660770956329,0.8921615421615422,0.6126013285409411,0.05795498561053742,0.4792501540458313,0.7071583964831719
14,MultibranchTCN,EEG_Pupil,2026,13,13,1,0.4868024837014572,0.1749960365225291,0.2608695652173913,0.8070175438596491,0.4387845480066109,0.08753056712527649,0.304029304029304,0.5866054733979262,0.3616762057422314,0.12626610581687434,0.1379310344827586,0.5826449569466329,0.767052915209478,0.0846328189218834,0.6175604392674165,0.959677976344643,0.6210331150200916,0.10498270495480536,0.5229944309009473,0.9104866335818804
