rank,calibration_budget_seconds_per_class,model,path,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
1,120,ShallowConvNet,EEG,39,13,3,0.7185407063523355,0.13997546163112493,0.3076923076923077,0.934640522875817,0.7153853203893281,0.13716859374667914,0.2539682539682539,0.9255696782319937,0.6884848702579972,0.15720940149880244,0.2271241830065359,0.92327817178881,0.9032669952641239,0.10782817252761591,0.6777777777777777,0.9949534606010044,0.8422971208555751,0.12980739808680486,0.5828741823407516,0.98705974745447
2,30,ShallowConvNet,EEG,39,13,3,0.6579279808404506,0.11696368890614572,0.328125,0.817351598173516,0.6463975141023715,0.10022294953889078,0.3756613756613756,0.7934801160607612,0.6190854803463115,0.13423016002041036,0.2314308979199052,0.7953042328042329,0.8695951036592838,0.05837358241610895,0.7513888888888888,0.930200524286546,0.7495071128536204,0.08808555735493853,0.578188031040613,0.8480616863820932
3,60,ShallowConvNet,EEG,39,13,3,0.6457277883775162,0.1530983346738319,0.2368421052631578,0.8636363636363636,0.6388164624747809,0.13357765108475655,0.3,0.8434385382059801,0.5962283654236598,0.17553544287980255,0.1304347826086956,0.8436051757568777,0.8669175701841574,0.07869643456761335,0.7169973544973546,0.9421936171291314,0.7656756303772012,0.12051931171453231,0.5296727127325683,0.8809415189564161
4,120,MultibranchTCN,ECG_EEG,39,13,3,0.616511043556965,0.14076153159838378,0.2875816993464052,0.8604651162790697,0.5618957235240299,0.1444901701845152,0.3165006297950303,0.8455988455988456,0.502085988984645,0.16915193952704918,0.21875,0.8332048068890173,0.8331430044082202,0.09249693618115269,0.6084075591761954,0.9741161616161615,0.6958359271769384,0.11515138542448972,0.4803484330831563,0.9692555485819104
5,30,MultibranchTCN,ECG_EEG,39,13,3,0.5937582959389969,0.13658105337029172,0.2831050228310502,0.8356164383561644,0.5581319489365467,0.1411737616783707,0.3024406895374637,0.8095238095238094,0.4973467953443958,0.17059876193485118,0.2028985507246377,0.8111061324387617,0.8125751011252171,0.10451379342712012,0.5593750000000001,0.9522227973314928,0.6826893973505396,0.12334439481136579,0.4262737161675183,0.9385772779592384
6,60,MultibranchTCN,ECG_EEG,39,13,3,0.5946742777958749,0.13786026388863135,0.2626262626262626,0.8383838383838383,0.5541132997394177,0.14357959270012352,0.2887596899224806,0.8095238095238096,0.4927364058574713,0.17414733693476586,0.2063492063492063,0.8122171945701359,0.8180699263606466,0.10020798604515889,0.5781281682342114,0.9539835164835164,0.686153704577336,0.12339008008613249,0.4520359791607187,0.9440506079418268
7,120,MultibranchTCN,EEG,39,13,3,0.5933643960399814,0.1483184938525974,0.217391304347826,0.8846153846153846,0.5467261532187675,0.15578936157257162,0.2525252525252525,0.8968253968253969,0.4937659598242738,0.1789007923035728,0.2066666666666666,0.886039886039886,0.8109395566795082,0.10938178769138142,0.4834125569419686,0.9914772727272728,0.6720608209166256,0.12013646040085399,0.3786521494941173,0.9669578737760556
8,60,MultibranchTCN,EEG,39,13,3,0.5793280188924472,0.1450280660196693,0.2111111111111111,0.8103448275862069,0.5451252545572761,0.1578383502523006,0.2383333333333333,0.8509615384615384,0.49324201180785654,0.18407527345351726,0.1979166666666666,0.8211030162249674,0.7985911134319043,0.11053352147297034,0.4845,0.9915674603174603,0.6611379568521902,0.1218309891301989,0.3766205496037848,0.975779666598165
9,30,MultibranchTCN,EEG,39,13,3,0.5726179737309874,0.14660499842360325,0.1862745098039215,0.8125,0.5417645758023957,0.15778098289436024,0.2066353187042842,0.8505291005291005,0.4906282710322802,0.18464363613802845,0.177946145418901,0.8225529877703791,0.7930435543558376,0.10986292777400666,0.4932133092855814,0.9814814814814816,0.6567531685924001,0.11999185570421086,0.3720253178613604,0.9485846494559148
10,120,MultibranchTCN,ECG,39,13,3,0.3613236337227388,0.1318432874984693,0.1739130434782608,0.5384615384615384,0.34039964768236847,0.06123524983610756,0.2189396541852742,0.6178861788617885,0.20241392919101878,0.07534340430924255,0.1153846153846153,0.4406593953882165,0.43145351848667307,0.16143212084604835,0.1166666666666666,0.7214285714285715,0.37784623787222915,0.08571816634572103,0.2552336735174474,0.5873968433527258
11,60,MultibranchTCN,ECG,39,13,3,0.2854439504167272,0.07498298378468249,0.131578947368421,0.5344827586206896,0.3202608479442111,0.060329556879446834,0.1317829457364341,0.5016025641025641,0.16314618489358743,0.05561763975617224,0.1078431372549019,0.4120767033863728,0.4438713812498163,0.15510399848165218,0.1388227513227513,0.7152777777777777,0.3763276172830719,0.08572736629565665,0.2437339324990829,0.5664509421702405
12,30,MultibranchTCN,ECG,39,13,3,0.2992750895022249,0.09800354460824395,0.1136363636363636,0.546875,0.31262838975111873,0.07420493755537866,0.1222051544632189,0.4761904761904761,0.16795828927194875,0.0659865248633832,0.0793650793650793,0.4062745098039215,0.43431726706600715,0.15740260140323692,0.1243055555555555,0.7386272141706924,0.3695147388825376,0.08444617061173182,0.242720375960349,0.553343094527305
