rank,experiment,model,path,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
1,experiment3,MultibranchTCN,EEG_Pupil,48,16,3,0.65625,0.15999501322015994,0.4166666666666667,1.0,0.65625,0.15999501322015994,0.4166666666666666,1.0,0.593069325146531,0.21150663872305184,0.3333333333333333,1.0,0.8628472222222223,0.15099771615388075,0.4166666666666667,1.0,0.8710621843434344,0.140577710496149,0.4771524771524771,1.0
2,experiment3,MultibranchTCN,ECG_Pupil,48,16,3,0.6423611111111112,0.15371515570617825,0.5,1.0,0.642361111111111,0.15371515570617827,0.5,1.0,0.5631229473141238,0.21885706659794965,0.3333333333333333,1.0,0.8431712962962964,0.13529506218836043,0.4166666666666667,1.0,0.8576764670514669,0.12181933538675202,0.5604858104858105,1.0
3,experiment3,MultibranchTCN,ECG_EEG_Pupil,48,16,3,0.6354166666666666,0.13819269959814165,0.5,1.0,0.6354166666666666,0.13819269959814168,0.5,1.0,0.5566829990543226,0.1949755192950757,0.3333333333333333,1.0,0.857638888888889,0.18661411860276275,0.1388888888888889,1.0,0.8792378146544811,0.1450707253208373,0.4063131313131313,1.0
4,experiment3,ShallowConvNet,EEG,48,16,3,0.6319444444444445,0.15550700018957034,0.4166666666666667,0.9166666666666666,0.6319444444444445,0.15550700018957034,0.4166666666666666,0.9166666666666669,0.545907404822846,0.2242524154670001,0.2941176470588235,0.916083916083916,0.7407407407407408,0.3008357445038337,0.0,1.0,0.8093634760301427,0.21942418889503995,0.3467893217893217,1.0
5,experiment3,MultibranchTCN,Pupil,48,16,3,0.6319444444444444,0.1405339923096325,0.5,1.0,0.6319444444444444,0.1405339923096325,0.5,1.0,0.5595181898031163,0.19842360480335758,0.3333333333333333,1.0,0.8564814814814814,0.14121379583875496,0.4722222222222222,1.0,0.8772917668751002,0.11831831129033805,0.5396825396825397,1.0
6,experiment3,MultibranchTCN,EEG,48,16,3,0.6128472222222222,0.18232279791587755,0.3333333333333333,1.0,0.6128472222222222,0.18232279791587755,0.3333333333333333,1.0,0.5329616717024805,0.2338150716855707,0.25,1.0,0.8038194444444446,0.24055621413544998,0.1388888888888889,1.0,0.8519588243546578,0.18173770163422534,0.4063131313131313,1.0
7,experiment3,MultibranchTCN,ECG_EEG,48,16,3,0.5972222222222222,0.15598134902953897,0.3333333333333333,1.0,0.5972222222222222,0.15598134902953897,0.3333333333333333,1.0,0.49202800875594993,0.21923058419981292,0.25,1.0,0.7719907407407408,0.2633959146327016,0.1388888888888889,1.0,0.8186694574715409,0.20565271365667884,0.385479797979798,1.0
8,experiment2,MultibranchTCN,EEG,60,20,3,0.595,0.158835806918094,0.4,1.0,0.595,0.158835806918094,0.4,1.0,0.4824351574351574,0.22432525997452984,0.2857142857142857,1.0,0.7626666666666667,0.3011270730510523,0.0,1.0,0.8097843915343915,0.22724421824417718,0.3543650793650793,1.0
9,experiment2,ShallowConvNet,EEG,60,20,3,0.5766666666666665,0.14885627998306108,0.5,1.0,0.5766666666666665,0.1488562799830611,0.5,1.0,0.4563746438746438,0.20857430506869098,0.3333333333333333,1.0,0.722,0.30502458917274194,0.0,1.0,0.7848108465608464,0.22598652435159325,0.3543650793650793,1.0
10,experiment2,MultibranchTCN,Pupil,60,20,3,0.5633333333333334,0.10730388759865744,0.4,0.9,0.5633333333333334,0.10730388759865744,0.4,0.9,0.4534609834609835,0.16525195149423136,0.3333333333333333,0.898989898989899,0.732,0.22964083969154375,0.0,1.0,0.7742566137566136,0.17991384691141082,0.3543650793650793,1.0
11,experiment2,MultibranchTCN,ECG_EEG,60,20,3,0.5633333333333334,0.1339955307459432,0.3,1.0,0.5633333333333334,0.1339955307459432,0.3,1.0,0.44671971546971545,0.19214453909642698,0.2307692307692307,1.0,0.7186666666666668,0.3283624840080773,0.0,1.0,0.7841878306878305,0.2309450606878675,0.3543650793650793,1.0
12,experiment2,MultibranchTCN,EEG_Pupil,60,20,3,0.5583333333333333,0.1266138754099553,0.5,1.0,0.5583333333333333,0.1266138754099553,0.5,1.0,0.4277911902911902,0.18107896919277675,0.3333333333333333,1.0,0.7619999999999999,0.24408112016364356,0.1199999999999999,1.0,0.8003201058201058,0.19213210017935475,0.3812698412698412,1.0
13,experiment2,MultibranchTCN,ECG_EEG_Pupil,60,20,3,0.5566666666666666,0.11103010229581531,0.3,0.9,0.5566666666666666,0.11103010229581531,0.3,0.9,0.4390577015577016,0.16708857309772723,0.2857142857142857,0.898989898989899,0.8033333333333333,0.21937250006623607,0.12,1.0,0.8306137566137566,0.1801825409929698,0.3805555555555555,1.0
