rank,split_id,model,path,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
1,experiment2_to_experiment3,MultibranchTCN,EEG,3,1,3,0.6163194444444445,0.023485675795952572,0.59375,0.640625,0.6163194444444445,0.023485675795952572,0.59375,0.640625,0.605949794864518,0.030022396264208828,0.588345244639912,0.6406152510647533,0.6614945023148148,0.005759392158380482,0.6559244791666667,0.6674262152777778,0.646386493539456,0.014812449302201753,0.6356712986426962,0.6632895274487773
2,experiment3_to_experiment2,MultibranchTCN,Pupil,3,1,3,0.6016666666666667,0.012583057392117928,0.59,0.615,0.6016666666666667,0.012583057392117928,0.59,0.615,0.5821592288390782,0.0032698551261758145,0.5796553173602353,0.5858585858585859,0.6246666666666667,0.010104124570359098,0.6144,0.6346,0.5913494468963195,0.023261033573815405,0.5740185318356719,0.6177858138094698
3,experiment3_to_experiment2,MultibranchTCN,EEG_Pupil,3,1,3,0.5983333333333333,0.016072751268321604,0.58,0.61,0.5983333333333333,0.016072751268321604,0.58,0.61,0.5876039889305261,0.030904166258165163,0.552,0.607487922705314,0.644,0.007227032586061943,0.6356999999999999,0.6489000000000001,0.6606871892246139,0.019499165717990114,0.6383182485455552,0.674094345635141
4,experiment3_to_experiment2,MultibranchTCN,ECG_EEG_Pupil,3,1,3,0.59,0.027838821814150136,0.565,0.62,0.59,0.027838821814150136,0.565,0.62,0.5833620150416253,0.026864195836076465,0.5618342524741256,0.6134676024819449,0.6244666666666667,0.03310473279356493,0.5865,0.6473,0.6279791198391539,0.020668289918257855,0.6076302537624675,0.6489526706743345
5,experiment3_to_experiment2,MultibranchTCN,EEG,3,1,3,0.5816666666666667,0.04041451884327379,0.545,0.625,0.5816666666666667,0.04041451884327379,0.545,0.625,0.5515591839088487,0.07201069173663321,0.4750656167979002,0.6180387563341907,0.6213666666666667,0.004742713709822023,0.6161,0.6253000000000001,0.6069754379012816,0.026969667491921038,0.586629576832805,0.6375664343983252
6,experiment2_to_experiment3,MultibranchTCN,ECG_EEG_Pupil,3,1,3,0.578125,0.01041666666666663,0.5677083333333334,0.5885416666666666,0.5781249999999999,0.010416666666666685,0.5677083333333333,0.5885416666666666,0.5749371685064097,0.008936193066366794,0.5657174001907617,0.583559838563545,0.5987413194444443,0.01908211158421147,0.5789930555555555,0.6170789930555555,0.5961947601169615,0.02090197349828525,0.5726000155087724,0.6123919638131399
7,experiment2_to_experiment3,MultibranchTCN,ECG_EEG,3,1,3,0.5763888888888888,0.03182344232608223,0.5416666666666666,0.6041666666666666,0.576388888888889,0.03182344232608228,0.5416666666666666,0.6041666666666667,0.5720585706936154,0.030424955880459733,0.5412186379928315,0.6020508345151085,0.6179108796296297,0.020576685831276625,0.5941840277777778,0.630859375,0.6219115146798132,0.009646634504646283,0.6139561393565305,0.6326413545809638
8,experiment2_to_experiment3,MultibranchTCN,Pupil,3,1,3,0.5746527777777778,0.010842010413886124,0.5625,0.5833333333333334,0.5746527777777778,0.010842010413886079,0.5625,0.5833333333333333,0.5645656216844316,0.018870402300533193,0.5446640316205533,0.5821999782395821,0.5759186921296297,0.011849799596627929,0.5633680555555556,0.5869140625,0.5681407935192714,0.0156256507857467,0.5503674598612615,0.579718634903911
9,experiment3_to_experiment2,MultibranchTCN,ECG_EEG,3,1,3,0.565,0.0180277563773199,0.545,0.58,0.565,0.018027756377320008,0.5449999999999999,0.5800000000000001,0.5577541134191601,0.021448469827925032,0.5352281723230929,0.5779318661441061,0.6072000000000001,0.007357309290766594,0.5988,0.6125,0.6175938302084226,0.00873898187696117,0.6112551584928341,0.6275628524492315
10,experiment2_to_experiment3,ShallowConvNet,EEG,3,1,3,0.5555555555555555,0.026727090830452542,0.5260416666666666,0.578125,0.5555555555555556,0.02672709083045248,0.5260416666666667,0.578125,0.547158775305823,0.02190592068116671,0.5222966507177034,0.56362411964421,0.5976924189814814,0.008680781608746493,0.5877821180555555,0.6039496527777778,0.6102496318076628,0.006939024662044837,0.6032880161826661,0.6171658426791657
