Feature,Modality,Pre-Content Rest,Post-Content Rest,XR Content Exposure,H,p,eta2
y_mean,Pupil,52.658 ± 18.899,55.485 ± 31.811,67.168 ± 28.692,196.17,<0.0001,0.0762
O1_ratio_alpha_beta,EEG,3.807 ± 4.278,4.081 ± 3.833,0.441 ± 0.314,1271.18,<0.0001,0.4983
pupil_max,Pupil,49.422 ± 14.411,48.276 ± 13.731,35.774 ± 10.099,590.66,<0.0001,0.2311
min,ECG,-0.585 ± 0.355,-0.583 ± 0.313,-0.592 ± 0.354,1.36,0.5065,-0.0003
O1_bp_low_gamma,EEG,0.606 ± 0.738,1.347 ± 2.559,2.452 ± 4.859,298.08,<0.0001,0.1162
pupil_rms,Pupil,36.173 ± 11.320,36.535 ± 12.073,28.214 ± 8.289,315.90,<0.0001,0.1232
O1_ratio_theta_alpha,EEG,0.589 ± 0.868,0.406 ± 0.582,2.061 ± 1.470,1214.35,<0.0001,0.4760
O2_bp_low_gamma,EEG,0.635 ± 0.734,1.441 ± 2.336,1.856 ± 2.848,200.64,<0.0001,0.0780
skew,ECG,3.147 ± 1.016,3.125 ± 0.932,3.110 ± 0.965,0.77,0.6818,-0.0005
max,ECG,1.749 ± 0.488,1.743 ± 0.487,1.734 ± 0.503,1.25,0.5363,-0.0003
